CustomerFirstName|CustomerLastName|StreetAddress|PurchaseID|PurchaseDate|PurchaseAmount
Marcos|Perrin|223 Paget Road|108|09-12-2020|29947
Marcos|Perrin|223 Paget Road|124|6/17/2020|21458
Marcos|Perrin|223 Paget Road|126|10-07-2020|24396
Marcos|Perrin|223 Paget Road|185|02-09-2020|26403
Marcos|Perrin|223 Paget Road|211|08-02-2020|21248
Marcos|Perrin|223 Paget Road|231|08-07-2020|29880
Marcos|Perrin|223 Paget Road|311|12/16/2019|21064
Marcos|Perrin|223 Paget Road|329|02-05-2020|22410
Marcos|Perrin|223 Paget Road|409|9/24/2020|27046
Marcos|Perrin|223 Paget Road|447|12/15/2019|27797
Marcos|Perrin|223 Paget Road|480|9/23/2020|28171
Marcos|Perrin|223 Paget Road|488|01-05-2020|28258
Marcos|Perrin|223 Paget Road|491|12/26/2019|29470
Marcos|Perrin|223 Paget Road|530|05-03-2020|27536
Marcos|Perrin|223 Paget Road|587|6/21/2020|27114
Marcos|Perrin|223 Paget Road|591|2/24/2020|22522
Marcos|Perrin|223 Paget Road|640|1/15/2020|27828
Marcos|Perrin|223 Paget Road|671|5/22/2020|27780
Marcos|Perrin|223 Paget Road|703|09-12-2020|23282
Marcos|Perrin|223 Paget Road|737|02-06-2020|25328
Marcos|Perrin|223 Paget Road|774|01-12-2020|28001
Marcos|Perrin|223 Paget Road|820|10/30/2020|24307
Marcos|Perrin|223 Paget Road|920|6/22/2020|21692
Marcos|Perrin|223 Paget Road|939|9/25/2020|26580
Marcos|Perrin|223 Paget Road|952|02-07-2020|29207
Marcos|Perrin|223 Paget Road|967|11/27/2019|20490
Marcos|Perrin|223 Paget Road|996|02-01-2020|20791
Marcos|Perrin|223 Paget Road|999|03-02-2020|29175
