CustomerFirstName|CustomerLastName|StreetAddress|PurchaseID|PurchaseDate|PurchaseAmount
Mikel|Rankling|2901 American Ash Road|987|8/26/2020|28643
Mikel|Rankling|2901 American Ash Road|986|2/24/2020|27647
Mikel|Rankling|2901 American Ash Road|940|1/19/2020|22662
Mikel|Rankling|2901 American Ash Road|904|7/29/2020|22284
Mikel|Rankling|2901 American Ash Road|899|7/25/2020|29865
Mikel|Rankling|2901 American Ash Road|865|6/15/2020|29858
Mikel|Rankling|2901 American Ash Road|859|09-07-2020|26229
Mikel|Rankling|2901 American Ash Road|811|02-08-2020|20546
Mikel|Rankling|2901 American Ash Road|771|02-03-2020|29888
Mikel|Rankling|2901 American Ash Road|719|4/14/2020|21794
Mikel|Rankling|2901 American Ash Road|658|9/29/2020|24760
Mikel|Rankling|2901 American Ash Road|608|05-12-2020|21255
Mikel|Rankling|2901 American Ash Road|598|04-09-2020|20872
Mikel|Rankling|2901 American Ash Road|554|12/14/2019|28897
Mikel|Rankling|2901 American Ash Road|542|9/22/2020|27963
Mikel|Rankling|2901 American Ash Road|538|03-01-2020|23862
Mikel|Rankling|2901 American Ash Road|474|06-06-2020|21471
Mikel|Rankling|2901 American Ash Road|436|8/19/2020|29342
Mikel|Rankling|2901 American Ash Road|379|3/26/2020|26207
Mikel|Rankling|2901 American Ash Road|359|11-08-2020|22213
Mikel|Rankling|2901 American Ash Road|340|11-08-2020|24763
Mikel|Rankling|2901 American Ash Road|267|10/31/2020|20469
Mikel|Rankling|2901 American Ash Road|179|07-12-2020|27273
Mikel|Rankling|2901 American Ash Road|177|09-02-2020|23514
Mikel|Rankling|2901 American Ash Road|143|10/29/2020|20556
Mikel|Rankling|2901 American Ash Road|121|11-12-2020|28390
Mikel|Rankling|2901 American Ash Road|107|02-10-2020|25151
Mikel|Rankling|2901 American Ash Road|104|06-04-2020|26938
Mikel|Rankling|2901 American Ash Road|67|12/29/2019|22213
Mikel|Rankling|2901 American Ash Road|60|01-03-2020|28155
Mikel|Rankling|2901 American Ash Road|22|04-11-2020|26179
Nial|Rentcome|08928 Sunfield Plaza|985|7/30/2020|25942
Nial|Rentcome|08928 Sunfield Plaza|944|11-09-2020|26384
Nial|Rentcome|08928 Sunfield Plaza|925|09-09-2020|29703
Nial|Rentcome|08928 Sunfield Plaza|901|5/26/2020|25506
Nial|Rentcome|08928 Sunfield Plaza|869|8/29/2020|27899
Nial|Rentcome|08928 Sunfield Plaza|863|06-11-2020|27424
Nial|Rentcome|08928 Sunfield Plaza|797|07-09-2020|22742
Nial|Rentcome|08928 Sunfield Plaza|789|12-12-2019|26455
Nial|Rentcome|08928 Sunfield Plaza|765|4/22/2020|21964
Nial|Rentcome|08928 Sunfield Plaza|754|02-03-2020|23737
Nial|Rentcome|08928 Sunfield Plaza|751|02-08-2020|20724
Nial|Rentcome|08928 Sunfield Plaza|683|10/22/2020|28669
Nial|Rentcome|08928 Sunfield Plaza|676|3/27/2020|26532
Nial|Rentcome|08928 Sunfield Plaza|610|2/22/2020|26672
Nial|Rentcome|08928 Sunfield Plaza|607|6/25/2020|21754
Nial|Rentcome|08928 Sunfield Plaza|548|6/30/2020|23182
Nial|Rentcome|08928 Sunfield Plaza|506|2/18/2020|26292
Nial|Rentcome|08928 Sunfield Plaza|495|3/19/2020|24045
Nial|Rentcome|08928 Sunfield Plaza|464|12/26/2019|24098
Nial|Rentcome|08928 Sunfield Plaza|455|12/14/2019|20697
Nial|Rentcome|08928 Sunfield Plaza|448|04-01-2020|25829
Nial|Rentcome|08928 Sunfield Plaza|424|3/20/2020|21403
Nial|Rentcome|08928 Sunfield Plaza|370|7/30/2020|23953
Nial|Rentcome|08928 Sunfield Plaza|362|7/21/2020|21796
Nial|Rentcome|08928 Sunfield Plaza|299|6/21/2020|20281
Nial|Rentcome|08928 Sunfield Plaza|157|11/16/2019|20396
Nial|Rentcome|08928 Sunfield Plaza|139|02-05-2020|20300
Nial|Rentcome|08928 Sunfield Plaza|133|2/15/2020|29874
Nial|Rentcome|08928 Sunfield Plaza|114|12/14/2019|24102
Nial|Rentcome|08928 Sunfield Plaza|103|6/20/2020|29284
Nial|Rentcome|08928 Sunfield Plaza|44|12-02-2019|24686
Nial|Rentcome|08928 Sunfield Plaza|35|7/26/2020|29344
Nial|Rentcome|08928 Sunfield Plaza|14|04-06-2020|25585
Leon|Coales|546 Darwin Park|937|10/28/2020|29374
Leon|Coales|546 Darwin Park|924|01-05-2020|26160
Leon|Coales|546 Darwin Park|906|5/20/2020|25936
Leon|Coales|546 Darwin Park|891|7/25/2020|23997
Leon|Coales|546 Darwin Park|889|8/30/2020|28630
Leon|Coales|546 Darwin Park|847|5/26/2020|28798
Leon|Coales|546 Darwin Park|785|9/17/2020|24462
Leon|Coales|546 Darwin Park|733|10-08-2020|29108
Leon|Coales|546 Darwin Park|724|9/30/2020|22150
Leon|Coales|546 Darwin Park|697|11/20/2019|23553
Leon|Coales|546 Darwin Park|677|8/31/2020|28480
Leon|Coales|546 Darwin Park|618|08-02-2020|29010
Leon|Coales|546 Darwin Park|603|11/23/2019|22631
Leon|Coales|546 Darwin Park|567|12-05-2019|25650
Leon|Coales|546 Darwin Park|563|10/16/2020|25918
Leon|Coales|546 Darwin Park|522|6/17/2020|28993
Leon|Coales|546 Darwin Park|516|9/30/2020|28196
