CustomerFirstName	CustomerLastName	StreetAddress	PurchaseID	PurchaseDate	PurchaseAmount
Stan	Ivel	1 Maple Place	12	10/23/2020	26970
Stan	Ivel	1 Maple Place	38	10/26/2020	27860
Stan	Ivel	1 Maple Place	89	5/27/2020	26883
Stan	Ivel	1 Maple Place	110	9/24/2020	24300
Stan	Ivel	1 Maple Place	217	07-06-2020	22202
Stan	Ivel	1 Maple Place	221	3/26/2020	20837
Stan	Ivel	1 Maple Place	228	04-12-2020	25669
Stan	Ivel	1 Maple Place	254	06-11-2020	24537
Stan	Ivel	1 Maple Place	282	9/17/2020	26405
Stan	Ivel	1 Maple Place	301	10/16/2020	28787
Stan	Ivel	1 Maple Place	303	12/17/2019	22063
Stan	Ivel	1 Maple Place	354	4/29/2020	27679
Stan	Ivel	1 Maple Place	365	3/23/2020	22900
Stan	Ivel	1 Maple Place	385	1/30/2020	28423
Stan	Ivel	1 Maple Place	414	6/26/2020	27040
Stan	Ivel	1 Maple Place	426	03-07-2020	29928
Stan	Ivel	1 Maple Place	452	8/19/2020	26368
Stan	Ivel	1 Maple Place	460	04-09-2020	20441
Stan	Ivel	1 Maple Place	580	1/15/2020	22942
Stan	Ivel	1 Maple Place	605	3/26/2020	29698
Stan	Ivel	1 Maple Place	620	10-07-2020	21962
Stan	Ivel	1 Maple Place	635	3/20/2020	21269
Stan	Ivel	1 Maple Place	647	12-02-2019	25322
Stan	Ivel	1 Maple Place	652	9/25/2020	27236
Stan	Ivel	1 Maple Place	678	01-01-2020	20254
Stan	Ivel	1 Maple Place	679	4/20/2020	27547
Stan	Ivel	1 Maple Place	695	10/28/2020	26389
Stan	Ivel	1 Maple Place	709	4/18/2020	25685
Stan	Ivel	1 Maple Place	732	6/26/2020	23552
Stan	Ivel	1 Maple Place	742	5/22/2020	20372
Stan	Ivel	1 Maple Place	748	04-10-2020	27791
Stan	Ivel	1 Maple Place	763	3/21/2020	23352
Stan	Ivel	1 Maple Place	790	10/18/2020	23707
Stan	Ivel	1 Maple Place	792	04-05-2020	25333
Stan	Ivel	1 Maple Place	807	7/21/2020	23463
Stan	Ivel	1 Maple Place	892	03-05-2020	23977
Stan	Ivel	1 Maple Place	902	10-01-2020	26415
Stan	Ivel	1 Maple Place	930	11/23/2019	28593
Stan	Ivel	1 Maple Place	931	10/26/2020	22943
Stan	Ivel	1 Maple Place	948	3/27/2020	27007
Stan	Ivel	1 Maple Place	991	1/19/2020	25553
Westbrook	Camm	1647 Oakridge Crossing	""	""	""
